model,img_size,top1,top1_err,top5,top5_err,param_count,crop_pct,interpolation
convformer_s36.sail_in22k_ft_in1k,224,89.504,10.496,98.4649,1.5351,40.01,1.0,bicubic
regnety_160.lion_in12k_ft_in1k,224,89.5019,10.4981,98.4243,1.5757,83.59,0.95,bicubic
hgnet_base.ssld_in1k,224,89.5019,10.4981,98.4243,1.5757,71.58,0.965,bicubic
efficientvit_l3.r256_in1k,256,89.4976,10.5024,97.9098,2.0902,246.04,1.0,bicubic
hgnetv2_b5.ssld_stage1_in22k_in1k,288,89.4976,10.5024,98.5225,1.4775,39.57,1.0,bicubic
convnextv2_tiny.fcmae_ft_in22k_in1k_384,384,89.4933,10.5067,98.4841,1.5159,28.64,1.0,bicubic
convnext_tiny.in12k_ft_in1k_384,384,89.4912,10.5088,98.5097,1.4903,28.59,1.0,bicubic
beit3_base_patch16_224.in22k_ft_in1k,224,89.4891,10.5109,98.3987,1.6013,86.66,1.0,bicubic
rdnet_large.nv_in1k_ft_in1k_384,384,89.4827,10.5173,98.3432,1.6568,186.27,1.0,bicubic
convformer_s36.sail_in1k_384,384,89.4763,10.5237,98.3667,1.6333,40.01,1.0,bicubic
xcit_medium_24_p16_384.fb_dist_in1k,384,89.472,10.528,98.2984,1.7016,84.4,1.0,bicubic
deit3_base_patch16_224.fb_in22k_ft_in1k,224,89.472,10.528,98.5567,1.4433,86.59,1.0,bicubic
vit_base_patch16_clip_224.laion2b_ft_in1k,224,89.4656,10.5344,98.4777,1.5223,86.57,1.0,bicubic
vit_base_patch8_224.augreg_in21k_ft_in1k,224,89.4571,10.5429,98.4713,1.5287,86.58,0.9,bicubic
vit_base_patch32_clip_448.laion2b_ft_in12k_in1k,448,89.4571,10.5429,98.4136,1.5864,88.34,1.0,bicubic
vit_base_patch16_224.augreg2_in21k_ft_in1k,224,89.4571,10.5429,98.467,1.533,86.57,0.9,bicubic
efficientnet_x_b5.sw_r448_e450_in1k,576,89.4528,10.5472,98.3838,1.6162,33.44,1.0,bicubic
dm_nfnet_f5.dm_in1k,416,89.4464,10.5536,98.3048,1.6952,377.21,0.954,bicubic
maxvit_small_tf_512.in1k,512,89.4421,10.5579,98.3603,1.6397,69.13,1.0,bicubic
inception_next_base.sail_in1k_384,384,89.44,10.56,98.3517,1.6483,86.67,1.0,bicubic
regnety_120.sw_in12k_ft_in1k,288,89.4336,10.5664,98.5396,1.4604,51.82,1.0,bicubic
deit_base_distilled_patch16_384.fb_in1k,384,89.4336,10.5664,98.4414,1.5586,87.63,1.0,bicubic
convnextv2_base.fcmae_ft_in1k,288,89.4314,10.5686,98.3667,1.6333,88.72,1.0,bicubic
vit_base_patch16_clip_224.openai_ft_in12k_in1k,224,89.4314,10.5686,98.4051,1.5949,86.57,0.95,bicubic
tf_efficientnet_b7.ap_in1k,600,89.4293,10.5707,98.3346,1.6654,66.35,0.949,bicubic
beit_base_patch16_224.in22k_ft_in22k_in1k,224,89.4272,10.5728,98.5204,1.4796,86.53,0.9,bicubic
efficientvit_l3.r224_in1k,224,89.4165,10.5835,97.8863,2.1137,246.04,1.0,bicubic
caformer_b36.sail_in1k,224,89.4079,10.5921,98.2236,1.7764,98.75,1.0,bicubic
hrnet_w48_ssld.paddle_in1k,288,89.4015,10.5985,98.3859,1.6141,77.47,1.0,bilinear
