model,img_size,top1,top1_err,top5,top5_err,param_count,crop_pct,interpolation
maxvit_tiny_tf_512.in1k,512,58.6267,41.3733,84.6533,15.3467,31.05,1.0,bicubic
vit_base_patch8_224.augreg_in21k_ft_in1k,224,58.48,41.52,82.5733,17.4267,86.58,0.9,bicubic
volo_d2_384.sail_in1k,384,58.4267,41.5733,84.28,15.72,58.87,1.0,bicubic
caformer_s18.sail_in22k_ft_in1k_384,384,58.4133,41.5867,85.44,14.56,26.34,1.0,bicubic
tf_efficientnetv2_xl.in21k_ft_in1k,384,58.2,41.8,80.84,19.16,208.12,1.0,bicubic
nextvit_small.bd_ssld_6m_in1k_384,384,58.08,41.92,85.3733,14.6267,31.76,1.0,bicubic
vit_mediumd_patch16_reg4_gap_256.sbb_in12k_ft_in1k,256,58.0267,41.9733,83.2,16.8,64.11,0.95,bicubic
hiera_large_224.mae_in1k_ft_in1k,224,58.0133,41.9867,81.6667,18.3333,213.74,0.9,bicubic
resnext101_32x32d.fb_wsl_ig1b_ft_in1k,224,57.92,42.08,80.7067,19.2933,468.53,0.875,bilinear
tiny_vit_21m_512.dist_in22k_ft_in1k,512,57.7867,42.2133,83.1467,16.8533,21.27,1.0,bicubic
vit_base_patch16_clip_384.laion2b_ft_in12k_in1k,384,57.7733,42.2267,81.8667,18.1333,86.86,1.0,bicubic
efficientvit_l2.r384_in1k,384,57.7467,42.2533,83.7467,16.2533,63.71,1.0,bicubic
seresnextaa101d_32x8d.sw_in12k_ft_in1k,224,57.68,42.32,82.8133,17.1867,93.59,0.875,bicubic
cait_m36_384.fb_dist_in1k,384,57.6667,42.3333,84.7067,15.2933,271.22,1.0,bicubic
hgnetv2_b6.ssld_stage2_ft_in1k,288,57.5467,42.4533,84.1733,15.8267,75.26,1.0,bicubic
tiny_vit_21m_384.dist_in22k_ft_in1k,384,57.48,42.52,83.1067,16.8933,21.23,1.0,bicubic
dm_nfnet_f5.dm_in1k,544,57.3467,42.6533,82.08,17.92,377.21,0.954,bicubic
tf_efficientnetv2_l.in21k_ft_in1k,384,57.2933,42.7067,82.2933,17.7067,118.52,1.0,bicubic
convnext_base.clip_laiona_augreg_ft_in1k_384,384,57.1733,42.8267,84.72,15.28,88.59,1.0,bicubic
deit3_base_patch16_224.fb_in22k_ft_in1k,224,57.1467,42.8533,83.5067,16.4933,86.59,1.0,bicubic
deit3_small_patch16_384.fb_in22k_ft_in1k,384,57.1333,42.8667,83.0133,16.9867,22.21,1.0,bicubic
caformer_s36.sail_in1k_384,384,57.12,42.88,82.64,17.36,39.3,1.0,bicubic
hgnetv2_b6.ssld_stage1_in22k_in1k,288,57.0933,42.9067,84.24,15.76,75.26,1.0,bicubic
convnextv2_large.fcmae_ft_in1k,288,57.08,42.92,83.5867,16.4133,197.96,1.0,bicubic
volo_d5_224.sail_in1k,224,56.8267,43.1733,82.76,17.24,295.46,0.96,bicubic
dm_nfnet_f6.dm_in1k,576,56.7467,43.2533,81.5333,18.4667,438.36,0.956,bicubic
rdnet_large.nv_in1k_ft_in1k_384,384,56.7467,43.2533,83.0133,16.9867,186.27,1.0,bicubic
maxvit_small_tf_384.in1k,384,56.72,43.28,82.28,17.72,69.02,1.0,bicubic
regnety_160.lion_in12k_ft_in1k,288,56.68,43.32,83.8933,16.1067,83.59,1.0,bicubic
xcit_medium_24_p8_384.fb_dist_in1k,384,56.64,43.36,83.64,16.36,84.32,1.0,bicubic
dm_nfnet_f4.dm_in1k,512,56.2533,43.7467,81.3733,18.6267,316.07,0.951,bicubic
convformer_m36.sail_in22k_ft_in1k,224,56.2533,43.7467,82.2267,17.7733,57.05,1.0,bicubic
